categoria;dono;tipo;arquivo;emissao;vencimento;status;dias_ate_vencer;caminho;ocr
veiculos;SEF1H37;IPEM;AFERIÇÃO AWA-6090.pdf;;2026-08-07;vencendo_30d;22;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H37\AFERIÇÃO AWA-6090.pdf;S
veiculos;SEF1H37;CIPP;CIPP-AWA-6090-PONTUAL.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H37\sem-data\CIPP-AWA-6090-PONTUAL.pdf;S
veiculos;SEF1H37;CIV;CIV SEF-1H37_001.pdf;;2026-01-13;vencido;-184;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H37\vencidos\CIV SEF-1H37_001.pdf;S
veiculos;SEF1H37;CIV;CIV-AWA-6090-PONTUAL.pdf;;2026-03-09;vencido;-129;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H37\vencidos\CIV-AWA-6090-PONTUAL.pdf;S
veiculos;SEF1H37;OUTROS;COMPROVANTE DE ENTEDEÇO ADAN.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H37\sem-data\COMPROVANTE DE ENTEDEÇO ADAN.pdf;N
veiculos;SEF1H37;CRLV;CRLV_AWA6090.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H37\sem-data\CRLV_AWA6090.pdf;S
veiculos;SEF1H37;CRLV;CRLV_SEF1H37.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H37\sem-data\CRLV_SEF1H37.pdf;S
veiculos;SEF1H39;IPEM;AFERIÇÃO AWA6093 (2).pdf;;2026-08-06;vencendo_30d;21;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H39\AFERIÇÃO AWA6093 (2).pdf;S
veiculos;SEF1H39;CIPP;CIPP AWA-6093_20260205_0001.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H39\sem-data\CIPP AWA-6093_20260205_0001.pdf;S
veiculos;SEF1H39;CIV;CIV AWA-6093_20260205_0001.pdf;;;sem_data;;C:/Users/Logistica01/projetos/logistica-ia/arquivo/frota-pontual/Veiculos\SEF1H39\sem-data\CIV AWA-6093_20260205_0001.pdf;S
